Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751845664,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751845665,1,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,1,30.83254210650921,30.83254210650921,30.83254210650921,30.83254210650921,270.0
1751845666,2,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,1,1,30.83254210650921,30.83254210650921,30.83254210650921,30.83254210650921,270.0
1751845667,3,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845668,4,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845669,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845670,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845671,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845672,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845673,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845674,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845675,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845676,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845677,5,,Aggregated,0.000000,0.000000,31,31,31,31,31,31,31,31,31,31,31,2,2,14,22.412979509681463,13.993416912853718,30.83254210650921,270.0
1751845678,5,,Aggregated,0.100000,0.100000,31,31,12000,12000,12000,12000,12000,12000,12000,12000,12000,3,2,31,4130.479111336172,13.993416912853718,12346.611374989152,15586.0
1751845679,5,,Aggregated,0.100000,0.100000,12000,12000,13000,13000,13000,13000,13000,13000,13000,13000,13000,4,2,31,6388.928312750068,13.993416912853718,13164.275916991755,25040.75
